,0
761,-217
762,-365
763,-228
764,-389
765,-245
766,-405
767,-259
768,-423
769,-261
770,-435
771,-268
772,-440
773,-275
774,-447
775,-273
776,-449
777,-278
778,-449
779,-277
780,-450
781,-277
782,-445
783,-284
784,-435
785,-286
786,-428
787,-293
788,-409
789,-303
790,-394
791,-309
792,-374
793,-321
794,-344
795,-334
796,-319
797,-340
798,-287
799,-350
800,-251
801,-354
802,-218
803,-349
804,-180
805,-350
806,-144
807,-340
808,-116
809,-323
810,-79
811,-310
812,-49
813,-287
814,-25
815,-262
816,10
817,-243
818,34
819,-210
820,52
821,-185
822,75
823,-165
824,91
825,-134
826,107
827,-109
828,116
829,-92
830,119
831,-70
832,128
833,-54
834,130
835,-38
836,132
837,-20
838,138
839,-4
840,141
841,18
842,151
843,41
844,167
845,55
846,185
847,80
848,210
849,107
850,243
851,132
852,281
853,163
854,326
855,193
856,372
857,229
858,419
859,262
860,465
861,295
862,512
863,327
864,550
865,356
866,584
867,380
868,614
869,401
870,633
871,423
872,648
873,431
874,657
875,441
876,655
877,444
878,659
879,439
880,657
881,438
882,649
883,431
884,642
885,420
886,631
887,418
888,618
889,415
890,610
891,411
892,594
893,414
894,581
895,413
896,566
897,411
898,542
899,416
900,520
901,410
902,494
903,408
904,462
905,406
906,432
907,394
908,400
909,386
910,366
911,378
912,332
913,358
914,297
915,341
916,260
917,323
918,225
919,296
920,192
921,276
922,155
923,248
924,119
925,225
926,79
927,206
928,45
929,177
930,14
931,157
932,-21
933,138
934,-51
935,116
936,-79
937,105
938,-105
939,91
940,-125
941,74
942,-146
943,66
944,-167
945,52
946,-182
947,40
948,-196
949,38
950,-212
951,23
952,-221
953,11
954,-238
955,4
956,-257
957,-20
958,-277
959,-40
960,-311
961,-58
962,-343
963,-87
964,-377
965,-116
966,-421
967,-143
968,-461
969,-177
970,-500
971,-206
972,-543
973,-239
974,-581
975,-269
976,-614
977,-287
978,-642
979,-306
980,-662
981,-314
982,-682
983,-312
984,-689
985,-312
986,-688
987,-304
988,-695
989,-291
990,-690
991,-280
992,-679
993,-262
994,-674
995,-242
996,-662
997,-234
998,-650
999,-222
1000,-637
1001,-212
1002,-619
1003,-219
1004,-606
1005,-226
1006,-591
1007,-238
1008,-570
1009,-259
1010,-550
1011,-277
1012,-531
1013,-305
1014,-511
1015,-336
1016,-496
1017,-365
1018,-481
1019,-401
1020,-462
1021,-435
1022,-446
1023,-461
1024,-429
1025,-490
1026,-407
1027,-514
1028,-389
1029,-529
1030,-359
1031,-541
1032,-327
1033,-550
1034,-301
1035,-555
1036,-260
1037,-562
1038,-228
1039,-559
1040,-199
1041,-559
1042,-164
1043,-554
1044,-141
1045,-540
1046,-119
1047,-534
1048,-97
1049,-522
1050,-85
1051,-502
1052,-73
1053,-494
1054,-66
1055,-479
1056,-61
1057,-461
1058,-52
1059,-453
1060,-43
1061,-430
1062,-29
1063,-404
1064,1
1065,-383
1066,32
1067,-348
1068,72
1069,-313
1070,129
1071,-275
1072,193
1073,-222
1074,273
1075,-169
1076,360
1077,-115
1078,450
1079,-45
1080,549
1081,33
1082,642
1083,106
1084,733
1085,181
1086,819
1087,245
1088,888
1089,308
1090,941
1091,368
1092,986
1093,412
1094,1016
1095,460
1096,1035
1097,500
1098,1047
1099,534
1100,1046
1101,571
1102,1036
1103,594
1104,1026
1105,617
1106,1007
1107,641
1108,987
1109,660
1110,970
1111,682
1112,948
1113,704
1114,930
1115,716
1116,913
1117,729
1118,891
1119,743
1120,871
1121,743
1122,849
1123,744
1124,821
1125,741
1126,794
1127,731
1128,761
1129,723
1130,725
1131,706
1132,694
1133,689
1134,655
1135,672
1136,612
1137,647
1138,575
1139,617
1140,525
1141,591
1142,480
1143,557
1144,443
1145,523
1146,398
1147,495
1148,364
1149,456
1150,329
1151,425
1152,293
1153,395
1154,267
1155,357
1156,237
1157,337
1158,213
1159,316
1160,194
1161,295
1162,176
1163,292
1164,159
1165,281
1166,143
1167,276
1168,119
1169,281
1170,88
1171,271
1172,58
1173,264
1174,18
1175,254
1176,-31
1177,227
1178,-80
1179,203
1180,-135
1181,172
1182,-191
1183,127
1184,-255
1185,80
1186,-329
1187,21
1188,-396
1189,-46
1190,-460
1191,-103
1192,-528
1193,-165
1194,-586
1195,-227
1196,-641
1197,-273
1198,-690
1199,-320
1200,-724
1201,-361
1202,-760
1203,-388
1204,-789
1205,-412
1206,-808
1207,-426
1208,-833
1209,-434
1210,-846
1211,-445
1212,-860
1213,-446
1214,-875
1215,-447
1216,-880
1217,-456
1218,-896
1219,-454
1220,-914
1221,-460
1222,-923
1223,-473
1224,-941
1225,-478
1226,-955
1227,-498
1228,-963
1229,-512
1230,-979
1231,-517
1232,-980
1233,-536
1234,-975
1235,-548
1236,-970
1237,-549
1238,-952
1239,-554
1240,-931
1241,-550
1242,-908
1243,-546
1244,-867
1245,-548
1246,-827
1247,-541
1248,-781
1249,-539
1250,-722
1251,-542
1252,-673
1253,-535
1254,-619
1255,-538
1256,-556
1257,-544
1258,-506
1259,-540
1260,-454
1261,-550
1262,-408
1263,-553
1264,-371
1265,-548
1266,-336
1267,-551
1268,-311
1269,-547
1270,-292
1271,-538
1272,-278
1273,-537
1274,-267
1275,-533
1276,-267
1277,-526
1278,-261
1279,-530
1280,-251
1281,-524
1282,-243
1283,-520
1284,-219
1285,-525
1286,-192
1287,-510
1288,-156
1289,-499
1290,-103
1291,-481
1292,-43
1293,-444
1294,39
1295,-408
1296,134
1297,-357
1298,223
1299,-298
1300,326
1301,-234
1302,438
1303,-156
1304,541
1305,-80
1306,651
1307,3
1308,748
1309,86
1310,829
1311,157
1312,915
1313,221
1314,982
1315,288
1316,1035
1317,342
1318,1086
1319,386
1320,1118
1321,438
1322,1147
1323,481
1324,1173
1325,523
1326,1185
1327,571
1328,1195
1329,605
1330,1200
1331,642
1332,1195
1333,680
1334,1190
1335,703
1336,1177
1337,734
1338,1159
